"内部序号","分组一","分组二","分组三","分组四","分组五","类型","测量量程最小值","测量量程最大值","单位","断线上限","断线下限","设定上限","设定下限","阶码","报警方式","报警级别","报警延时","参数补偿编号","回差值","曲线编号","多点编号","网关IP","系统编号","分系统编号","站名称","站ID","IO模块类型","IO模块ID","点号","1/0有效","满量程上限","满量程下限","滤波标志","滤波次数","平均值处理标志","精度","斜率参数(A)","偏移参数(B)","刷新时间","A/D增益值","使用","开关状态","有报警","折线编号","1级报警","2级报警","3级报警","网关显示","参数类别","封装盒","选择","特殊ID标识","平均值与限值标志","OPC标志","安全标志","备份1","备份2","备份3","备份4","备份5","局域网","vdr","导航","备份6","备份7","备份8","备份9","备份10","测点名称","测点名称_en","简称","简称_tmp","测点号"
233,0,0,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#监测微机",7,"HT-0701 标准显控台工控机",0,21,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"0",1,233,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"集控台1#微机通讯故障",,"集控台1#微机通讯故障",,"67"
234,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"2#监测微机",8,"HT-0701 标准显控台工控机",0,1,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,234,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"2#微机应答输入",,"2#微机应答输入",,"70"
235,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"2#监测微机",8,"HT-0701 标准显控台工控机",0,2,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,235,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"2#微机复位输入",,"2#微机复位输入",,"71"
236,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"2#监测微机",8,"HT-0701 标准显控台工控机",0,9,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,236,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"2#微机喇叭输出",,"2#微机喇叭输出",,"72"
237,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"2#监测微机",8,"HT-0701 标准显控台工控机",0,19,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,237,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"集控台2#微机通讯1状态",,"集控台2#微机通讯1状态",,"73"
238,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"2#监测微机",8,"HT-0701 标准显控台工控机",0,20,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,238,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"集控台2#微机通讯2状态",,"集控台2#微机通讯2状态",,"74"
239,0,0,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#监测微机",8,"HT-0701 标准显控台工控机",0,21,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"0",1,239,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"集控台2#微机通讯故障",,"集控台2#微机通讯故障",,"75"
240,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",1,3,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,240,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"驾驶台延伸报警通讯1状态",,"驾驶台延伸报警通讯1状态",,"80"
241,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",1,4,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,241,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"驾驶台延伸报警通讯2状态",,"驾驶台延伸报警通讯2状态",,"81"
242,0,0,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",1,5,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"0",1,242,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"驾驶台延伸报警通讯故障",,"驾驶台延伸报警通讯故障",,"82"
243,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",2,3,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,243,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"轮机长延伸报警通讯1状态",,"轮机长延伸报警通讯1状态",,"83"
244,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",2,4,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,244,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"轮机长延伸报警通讯2状态",,"轮机长延伸报警通讯2状态",,"84"
245,0,0,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",2,5,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"0",1,245,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"轮机长延伸报警通讯故障",,"轮机长延伸报警通讯故障",,"85"
246,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",3,3,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,246,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"大管轮延伸报警通讯1状态",,"大管轮延伸报警通讯1状态",,"86"
247,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",3,4,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,247,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"大管轮延伸报警通讯2状态",,"大管轮延伸报警通讯2状态",,"87"
248,0,0,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",3,5,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"0",1,248,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"大管轮延伸报警通讯故障",,"大管轮延伸报警通讯故障",,"88"
249,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",4,3,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,249,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"二管轮延伸报警通讯1状态",,"二管轮延伸报警通讯1状态",,"89"
250,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",4,4,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,250,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"二管轮延伸报警通讯2状态",,"二管轮延伸报警通讯2状态",,"90"
251,0,0,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",4,5,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"0",1,251,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"二管轮延伸报警通讯故障",,"二管轮延伸报警通讯故障",,"91"
252,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",5,3,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,252,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"餐厅延伸报警通讯1状态",,"餐厅延伸报警通讯1状态",,"92"
253,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",5,4,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,253,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"餐厅延伸报警通讯2状态",,"餐厅延伸报警通讯2状态",,"93"
254,0,0,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",5,5,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"0",1,254,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"餐厅延伸报警通讯故障",,"餐厅延伸报警通讯故障",,"94"
255,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",6,3,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,255,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"健身房延伸报警通讯1状态",,"健身房延伸报警通讯1状态",,"95"
256,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",6,4,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,256,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"健身房延伸报警通讯2状态",,"健身房延伸报警通讯2状态",,"96"
257,0,0,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",6,5,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"0",1,257,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"健身房延伸报警通讯故障",,"健身房延伸报警通讯故障",,"97"
258,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",7,3,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,258,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"会议室延伸报警通讯1状态",,"会议室延伸报警通讯1状态",,"98"
259,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",7,4,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,259,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"会议室延伸报警通讯2状态",,"会议室延伸报警通讯2状态",,"99"
260,0,0,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",7,5,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"0",1,260,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"会议室延伸报警通讯故障",,"会议室延伸报警通讯故障",,"100"
261,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",8,3,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,261,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"三管轮延伸报警通讯1状态",,"三管轮延伸报警通讯1状态",,"95"
262,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",8,4,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"3",0,262,0,0,0,0,0,0,0,,0,0,0,,,,,,0,0,0,,,,,,"三管轮延伸报警通讯2状态",,"三管轮延伸报警通讯2状态",,"96"
263,0,0,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"延伸报警",9,"HT-0720 简易延伸报警模块",8,5,"-1",,,1,64,0,"-1",,,0,0.00000000e+00,1,"0",1,263,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"三管轮延伸报警通讯故障",,"三管轮延伸报警通讯故障",,"97"
264,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,1,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"3",0,264,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"左主机报警切断",,"左主机报警切断",,"0101"
265,0,0,0,0,0,"4-20mA输入",0.00000000e+00,4.00000000e+00,"bar",,,0.00000000e+00,0.00000000e+00,"1","-1","-1",,,,,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,2,"-1",4.00000000e+00,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"左主机增压空气压力",,"左主机增压空气压力",,"0102"
266,1,0,0,0,0,"4-20mA输入",0.00000000e+00,1.20000000e+02,"℃",,,5.50000000e+01,2.50000000e+01,"0","0","0",0.00000000e+00,,"0",,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,3,"-1",1.20000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",1,,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"左主机增压空气温度",,"左主机增压空气温度",,"0103"
267,0,0,0,0,0,"4-20mA输入",0.00000000e+00,6.00000000e+02,"℃",,,0.00000000e+00,0.00000000e+00,"0","-1","-1",,,,,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,4,"-1",6.00000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"左主机1号缸排气温度",,"左主机1号缸排气温度",,"0104"
268,0,0,0,0,0,"4-20mA输入",0.00000000e+00,6.00000000e+02,"℃",,,0.00000000e+00,0.00000000e+00,"0","-1","-1",,,,,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,5,"-1",6.00000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"左主机2号缸排气温度",,"左主机2号缸排气温度",,"0105"
269,0,0,0,0,0,"4-20mA输入",0.00000000e+00,6.00000000e+02,"℃",,,0.00000000e+00,0.00000000e+00,"0","-1","-1",,,,,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,6,"-1",6.00000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"左主机3号缸排气温度",,"左主机3号缸排气温度",,"0106"
270,0,0,0,0,0,"4-20mA输入",0.00000000e+00,6.00000000e+02,"℃",,,0.00000000e+00,0.00000000e+00,"0","-1","-1",,,,,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,7,"-1",6.00000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"左主机4号缸排气温度",,"左主机4号缸排气温度",,"0107"
271,0,0,0,0,0,"4-20mA输入",0.00000000e+00,6.00000000e+02,"℃",,,0.00000000e+00,0.00000000e+00,"0","-1","-1",,,,,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,8,"-1",6.00000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"左主机5号缸排气温度",,"左主机5号缸排气温度",,"0108"
272,0,0,0,0,0,"4-20mA输入",0.00000000e+00,6.00000000e+02,"℃",,,0.00000000e+00,0.00000000e+00,"0","-1","-1",,,,,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,9,"-1",6.00000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"左主机6号缸排气温度",,"左主机6号缸排气温度",,"0109"
273,0,0,0,0,0,"4-20mA输入",0.00000000e+00,6.00000000e+02,"℃",,,0.00000000e+00,0.00000000e+00,"0","-1","-1",,,,,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,10,"-1",6.00000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"左主机7号缸排气温度",,"左主机7号缸排气温度",,"0110"
274,0,0,0,0,0,"4-20mA输入",0.00000000e+00,6.00000000e+02,"℃",,,0.00000000e+00,0.00000000e+00,"0","-1","-1",,,,,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,11,"-1",6.00000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"左主机8号缸排气温度",,"左主机8号缸排气温度",,"0111"
275,0,0,0,0,0,"4-20mA输入",0.00000000e+00,6.00000000e+02,"℃",,,0.00000000e+00,0.00000000e+00,"0","-1","-1",,,,,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,12,"-1",6.00000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"左主机9号缸排气温度",,"左主机9号缸排气温度",,"0112"
144,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#分站",2,"HT-0202 开关量输入模块",1,14,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,144,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2号滑油分油机综合报警",,"2号滑油分油机综合报警",,"1205"
146,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#分站",2,"HT-0202 开关量输入模块",1,16,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,146,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"1号空压机运行指示",,"1号空压机运行指示",,"1301A"
147,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#分站",2,"HT-0202 开关量输入模块",1,17,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,147,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"1号空压机综合报警",,"1号空压机综合报警",,"1301"
148,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#分站",2,"HT-0202 开关量输入模块",1,18,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,148,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号空压机运行指示",,"2号空压机运行指示",,"1302A"
149,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#分站",2,"HT-0202 开关量输入模块",1,19,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,149,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2号空压机综合报警",,"2号空压机综合报警",,"1302"
150,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#分站",2,"HT-0202 开关量输入模块",1,20,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,150,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"速闭阀气瓶压力低",,"速闭阀气瓶压力低",,"1305"
151,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#分站",2,"HT-0202 开关量输入模块",1,21,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,151,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"1号主推水润滑轴承海水泵运行指示",,"1#主推水润滑轴海水泵运行",,"1407A"
152,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#分站",2,"HT-0202 开关量输入模块",1,22,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,152,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"1号主推水润滑轴承海水泵故障报警",,"1#主推水润滑轴海水泵故障",,"1407"
153,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#分站",2,"HT-0202 开关量输入模块",1,23,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,153,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号主推水润滑轴承海水泵运行指示",,"2#主推水润滑轴海水泵运行",,"1408A"
154,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#分站",2,"HT-0202 开关量输入模块",1,24,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,154,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2号主推水润滑轴承海水泵故障报警",,"2#主推水润滑轴海水泵故障",,"1408"
155,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#分站",2,"HT-0202 开关量输入模块",1,25,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,155,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"左舷水润滑密封装置断流报警",,"左舷水润滑密封断流报警",,"1415"
156,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"2#分站",2,"HT-0202 开关量输入模块",1,26,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,156,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"右舷水润滑密封装置断流报警",,"右舷水润滑密封断流报警",,"1416"
677,0,0,0,0,0,"开关量输入",0.00000000e+00,1.00000000e+00,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"2#串口",5,"HT-9987 串口7模块",9,2,"-1",1.00000000e+00,0.00000000e+00,0,64,0,,,,0,0.00000000e+00,1,"5",0,677,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"1#发电机柴油机运行状态",,"1#发电机柴油机运行状态",,"2102"
276,0,0,0,0,0,"4-20mA输入",0.00000000e+00,6.00000000e+02,"℃",,,0.00000000e+00,0.00000000e+00,"0","-1","-1",,,,,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,13,"-1",6.00000000e+02,0.00000000e+00,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,1,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"左主机排气温度平均值",,"左主机排气温度平均值",,"0113"
277,1,0,0,0,0,"4-20mA输入",-6.00000000e+02,6.00000000e+02,"℃",,,5.00000000e+01,-5.00000000e+01,"0","0","1",0.00000000e+00,,"0",,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,14,"-1",6.00000000e+02,-6.00000000e+02,1,64,0,"1",,,0,0.00000000e+00,1,"-1",1,,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"左主机1号缸排气温度偏差",,"左主机1号缸排气温度偏差",,"0114"
278,1,0,0,0,0,"4-20mA输入",-6.00000000e+02,6.00000000e+02,"℃",,,5.00000000e+01,-5.00000000e+01,"0","0","1",0.00000000e+00,,"0",,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,15,"-1",6.00000000e+02,-6.00000000e+02,1,64,0,"1",,,0,0.00000000e+00,1,"-1",1,,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"左主机2号缸排气温度偏差",,"左主机2号缸排气温度偏差",,"0115"
279,1,0,0,0,0,"4-20mA输入",-6.00000000e+02,6.00000000e+02,"℃",,,5.00000000e+01,-5.00000000e+01,"0","0","1",0.00000000e+00,,"0",,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,16,"-1",6.00000000e+02,-6.00000000e+02,1,64,0,"1",,,0,0.00000000e+00,1,"-1",1,,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"左主机3号缸排气温度偏差",,"左主机3号缸排气温度偏差",,"0116"
280,1,0,0,0,0,"4-20mA输入",-6.00000000e+02,6.00000000e+02,"℃",,,5.00000000e+01,-5.00000000e+01,"0","0","1",0.00000000e+00,,"0",,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,17,"-1",6.00000000e+02,-6.00000000e+02,1,64,0,"1",,,0,0.00000000e+00,1,"-1",1,,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"左主机4号缸排气温度偏差",,"左主机4号缸排气温度偏差",,"0117"
281,1,0,0,0,0,"4-20mA输入",-6.00000000e+02,6.00000000e+02,"℃",,,5.00000000e+01,-5.00000000e+01,"0","0","1",0.00000000e+00,,"0",,,,1,1,"1#串口",3,"HT-9981 串口1模块",1,18,"-1",6.00000000e+02,-6.00000000e+02,1,64,0,"1",,,0,0.00000000e+00,1,"-1",1,,0,0,0,0,1,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"左主机5号缸排气温度偏差",,"左主机5号缸排气温度偏差",,"0118"
