No,PAGENM,PAGENM_EN,PAGENo,ITEMNo,PAGEID,TAGID,TESTPOINTNAME,PROPERTY,SYSTEMID,STATIONID,IOMODULEID,POINTID,GRAPHINDEX
10,2#主发电机组(1),,4,4,3001,403004,2#发电机滑油进增压器压力,,1,7,5,4,
10,2#主发电机组(1),,4,5,3001,403005,2#发电机滑油进滤器前后压力,,1,7,5,5,
10,2#主发电机组(1),,4,6,3001,403006,2#发电机预供滑油压力低,,1,7,5,6,
10,2#主发电机组(1),,4,7,3001,403007,2#发电机油底壳滑油液位高,,1,7,5,7,
10,2#主发电机组(1),,4,8,3001,403008,2#发电机油底壳滑油液位低,,1,7,5,8,
10,2#主发电机组(1),,4,9,3001,403009,2#发电机燃油进机压力,,1,7,5,9,
10,2#主发电机组(1),,4,10,3001,403010,2#发电机燃油滤器前后压差,,1,7,5,10,
10,2#主发电机组(1),,4,11,3001,403011,2#发电机燃油泄漏液位高,,1,7,5,11,
10,2#主发电机组(1),,4,12,3001,403012,2#发电机低温冷水进机压力,,1,7,5,12,
10,2#主发电机组(1),,4,13,3001,403013,2#发电机高温冷水进机压力,,1,7,5,13,
10,2#主发电机组(1),,4,14,3001,403014,2#发电机高温冷水出机温度,,1,7,5,14,
10,2#主发电机组(1),,4,15,3001,403015,2#发电机高温冷水出机温度高停车,,1,7,5,15,
10,2#主发电机组(1),,4,16,3001,403016,2#发电机1号缸排气温度 高,,1,7,5,16,
10,2#主发电机组(1),,4,17,3001,403017,2#发电机2号缸排气温度 高,,1,7,5,17,
10,2#主发电机组(1),,4,18,3001,403018,2#发电机3号缸排气温度 高,,1,7,5,18,
10,2#主发电机组(1),,4,19,3001,403019,2#发电机4号缸排气温度 高,,1,7,5,19,
10,2#主发电机组(1),,4,20,3001,403020,2#发电机5号缸排气温度 高,,1,7,5,20,
10,2#主发电机组(1),,4,21,3001,403021,2#发电机6号缸排气温度 高,,1,7,5,21,
10,2#主发电机组(1),,4,22,3001,403022,2#发电机7号缸排气温度 高,,1,7,5,22,
10,2#主发电机组(1),,4,23,3001,403023,2#发电机8号缸排气温度 高,,1,7,5,23,
10,2#主发电机组(1),,4,24,3001,403024,2#发电机9号缸排气温度 高,,1,7,5,24,
10,2#主发电机组(1),,4,25,3001,403025,2#发电机各缸排温均值偏差高,,1,7,6,2,
10,2#主发电机组(1),,4,26,3001,403026,2#发电机增压器前排气温度高,,1,7,6,3,
10,2#主发电机组(1),,4,27,3001,403027,2#发电机增压器后排气温度高,,1,7,6,4,
10,2#主发电机组(1),,4,28,3001,403028,2#发电机起动空气压力低,,1,7,6,5,
10,2#主发电机组(1),,4,29,3001,403029,2#发电机盘车开关啮合/脱开,,1,7,6,6,
10,2#主发电机组(1),,4,30,3001,403030,2#发电机应急停车,,1,7,6,7,
10,2#主发电机组(2),,5,1,3001,403031,2#发电机超速,,1,7,6,8,
10,2#主发电机组(2),,5,2,3001,403032,2#发电机超速停车,,1,7,6,9,
10,2#主发电机组(2),,5,3,3001,403033,2#发电机增压器超速,,1,7,6,10,
10,2#主发电机组(2),,5,4,3001,403034,2#发电机公共紧急停机,,1,7,6,11,
10,2#主发电机组(2),,5,5,3001,403035,2#发电机遥控紧急停机,,1,7,6,12,
10,2#主发电机组(2),,5,6,3001,403037,2#发电机起动失败报警,,1,7,6,14,
10,2#主发电机组(2),,5,7,3001,403038,2#发电机停机失败报警,,1,7,6,15,
10,2#主发电机组(2),,5,8,3001,403039,2#发电机1号缸排温温差大,,1,7,5,25,
10,2#主发电机组(2),,5,9,3001,403040,2#发电机2号缸排温温差大,,1,7,5,26,
10,2#主发电机组(2),,5,10,3001,403041,2#发电机3号缸排温温差大,,1,7,5,27,
10,2#主发电机组(2),,5,11,3001,403042,2#发电机4号缸排温温差大,,1,7,5,28,
10,2#主发电机组(2),,5,12,3001,403043,2#发电机5号缸排温温差大,,1,7,5,29,
10,2#主发电机组(2),,5,13,3001,403044,2#发电机6号缸排温温差大,,1,7,5,30,
10,2#主发电机组(2),,5,14,3001,403045,2#发电机7号缸排温温差大,,1,7,5,31,
10,2#主发电机组(2),,5,15,3001,403046,2#发电机8号缸排温温差大,,1,7,5,32,
10,2#主发电机组(2),,5,16,3001,403047,2#发电机9号缸排温温差大,,1,7,6,1,
10,2#主发电机组(2),,5,17,3001,404001,MG2开关脱扣,,1,1,2,1,
10,2#主发电机组(2),,5,18,3001,404002,MG2保护继电器故障,,1,1,2,3,
10,2#主发电机组(2),,5,19,3001,404003,MG2 U相绕组温度,,1,2,1,9,
10,2#主发电机组(2),,5,20,3001,404004,MG2 V相绕组温度,,1,2,1,10,
10,2#主发电机组(2),,5,21,3001,404005,MG2 W相绕组温度,,1,2,1,11,
10,2#主发电机组(2),,5,22,3001,404006,MG2冷却水泄漏报警,,1,2,4,14,
10,2#主发电机组(2),,5,23,3001,404007,MG2 冷却空气(冷)温度,,1,2,2,3,
10,2#主发电机组(2),,5,24,3001,404008,MG2 冷却空气(热)温度,,1,2,2,4,
10,2#主发电机组(2),,5,25,3001,301003,2#发电机前轴承温度,,1,5,7,12,
10,2#主发电机组(2),,5,26,3001,301004,2#发电机后轴承温度,,1,5,7,13,
10,2#主发电机组(2),,5,27,3001,404009,2号电压调节器励磁电流,,1,1,5,3,
10,2#主发电机组(2),,5,28,3001,404010,2号电压调节器励磁电压,,1,1,5,4,
10,2#主发电机组(2),,5,29,3001,404011,2#发电机励磁开关脱扣故障,,1,2,6,14,
10,2#主发电机组（3）,,6,1,3001,1281,2#发电机燃油滤器压差高,,1,2,4,10,
10,2#主发电机组（3）,,6,2,3001,1309,2#发电机增压空气温度,,1,7,8,1,
10,2#主发电机组（3）,,6,3,3001,1310,2#发电机燃油进机温度,,1,7,8,2,
10,2#主发电机组（3）,,6,4,3001,1311,2#发电机低温水进空冷器温度,,1,7,8,3,
10,2#主发电机组（3）,,6,5,3001,1312,2#发电机高温水进机温度,,1,7,8,4,
10,2#主发电机组（3）,,6,6,3001,1314,2#发电机增压空气压力,,1,7,8,6,
10,2#主发电机组（3）,,6,7,3001,403033,2#发电机增压器超速,,1,7,6,10,
10,2#主发电机组（3）,,6,8,3001,1396,2#发电机油门刻度,,1,7,8,17,
10,3#主发电机组(1),,7,1,3001,405001,3#发电机滑油进滤器温度,,1,7,9,1,
10,3#主发电机组(1),,7,2,3001,405002,3#发电机滑油进机压力,,1,7,9,2,
10,3#主发电机组(1),,7,3,3001,405003,3#发电机滑油压力过低停车,,1,7,9,3,
10,3#主发电机组(1),,7,4,3001,405004,3#发电机滑油进增压器压力,,1,7,9,4,
10,3#主发电机组(1),,7,5,3001,405005,3#发电机滑油进滤器前后压力,,1,7,9,5,
10,3#主发电机组(1),,7,6,3001,405006,3#发电机预供滑油压力低,,1,7,9,6,
10,3#主发电机组(1),,7,7,3001,405007,3#发电机油底壳滑油液位高,,1,7,9,7,
10,3#主发电机组(1),,7,8,3001,405008,3#发电机油底壳滑油液位低,,1,7,9,8,
10,3#主发电机组(1),,7,9,3001,405009,3#发电机燃油进机压力,,1,7,9,9,
10,3#主发电机组(1),,7,10,3001,405010,3#发电机燃油滤器前后压差,,1,7,9,10,
10,3#主发电机组(1),,7,11,3001,405011,3#发电机燃油泄漏液位高,,1,7,9,11,
10,3#主发电机组(1),,7,12,3001,405012,3#发电机低温冷水进机压力,,1,7,9,12,
10,3#主发电机组(1),,7,13,3001,405013,3#发电机高温冷水进机压力,,1,7,9,13,
10,3#主发电机组(1),,7,14,3001,405014,3#发电机高温冷水出机温度,,1,7,9,14,
10,3#主发电机组(1),,7,15,3001,405015,3#发电机高温冷水出机温度高停车,,1,7,9,15,
10,3#主发电机组(1),,7,16,3001,405016,3#发电机1号缸排气温度 高,,1,7,9,16,
10,3#主发电机组(1),,7,17,3001,405017,3#发电机2号缸排气温度 高,,1,7,9,17,
10,3#主发电机组(1),,7,18,3001,405018,3#发电机3号缸排气温度 高,,1,7,9,18,
10,3#主发电机组(1),,7,19,3001,405019,3#发电机4号缸排气温度 高,,1,7,9,19,
10,3#主发电机组(1),,7,20,3001,405020,3#发电机5号缸排气温度 高,,1,7,9,20,
10,3#主发电机组(1),,7,21,3001,405021,3#发电机6号缸排气温度 高,,1,7,9,21,
10,3#主发电机组(1),,7,22,3001,405022,3#发电机7号缸排气温度 高,,1,7,9,22,
10,3#主发电机组(1),,7,23,3001,405023,3#发电机8号缸排气温度 高,,1,7,9,23,
10,3#主发电机组(1),,7,24,3001,405024,3#发电机9号缸排气温度 高,,1,7,9,24,
10,3#主发电机组(1),,7,25,3001,405025,3#发电机各缸排温均值偏差高,,1,7,10,2,
10,3#主发电机组(1),,7,26,3001,405026,3#发电机增压器前排气温度高,,1,7,10,3,
10,3#主发电机组(1),,7,27,3001,405027,3#发电机增压器后排气温度高,,1,7,10,4,
10,3#主发电机组(1),,7,28,3001,405028,3#发电机起动空气压力低,,1,7,10,5,
10,3#主发电机组(1),,7,29,3001,405029,3#发电机盘车开关啮合/脱开,,1,7,10,6,
10,3#主发电机组(1),,7,30,3001,405030,3#发电机应急停车,,1,7,10,7,
10,3#主发电机组(2),,8,1,3001,405031,3#发电机超速,,1,7,10,8,
10,3#主发电机组(2),,8,2,3001,405032,3#发电机超速停车,,1,7,10,9,
10,3#主发电机组(2),,8,3,3001,405033,3#发电机增压器超速,,1,7,10,10,
10,3#主发电机组(2),,8,4,3001,405034,3#发电机公共紧急停机,,1,7,10,11,
10,3#主发电机组(2),,8,5,3001,405035,3#发电机遥控紧急停机,,1,7,10,12,
10,3#主发电机组(2),,8,6,3001,405037,3#发电机起动失败报警,,1,7,10,14,
10,3#主发电机组(2),,8,7,3001,405038,3#发电机停机失败报警,,1,7,10,15,
10,3#主发电机组(2),,8,8,3001,405039,3#发电机1号缸排温温差大,,1,7,9,25,
10,3#主发电机组(2),,8,9,3001,405040,3#发电机2号缸排温温差大,,1,7,9,26,
10,3#主发电机组(2),,8,10,3001,405041,3#发电机3号缸排温温差大,,1,7,9,27,
10,3#主发电机组(2),,8,11,3001,405042,3#发电机4号缸排温温差大,,1,7,9,28,
10,3#主发电机组(2),,8,12,3001,405043,3#发电机5号缸排温温差大,,1,7,9,29,
10,3#主发电机组(2),,8,13,3001,405044,3#发电机6号缸排温温差大,,1,7,9,30,
10,3#主发电机组(2),,8,14,3001,405045,3#发电机7号缸排温温差大,,1,7,9,31,
10,3#主发电机组(2),,8,15,3001,405046,3#发电机8号缸排温温差大,,1,7,9,32,
10,3#主发电机组(2),,8,16,3001,405047,3#发电机9号缸排温温差大,,1,7,10,1,
10,3#主发电机组(2),,8,17,3001,406001,MG3开关脱扣,,1,1,2,21,
10,3#主发电机组(2),,8,18,3001,406002,MG3保护继电器故障,,1,1,2,23,
10,3#主发电机组(2),,8,19,3001,406003,MG3 U相绕组温度,,1,2,1,12,
10,3#主发电机组(2),,8,20,3001,406004,MG3 V相绕组温度,,1,2,1,13,
10,3#主发电机组(2),,8,21,3001,406005,MG3 W相绕组温度,,1,2,1,14,
10,3#主发电机组(2),,8,22,3001,406006,MG3冷却水泄漏报警,,1,2,4,15,
10,3#主发电机组(2),,8,23,3001,406007,MG3 冷却空气(冷)温度,,1,2,2,5,
10,3#主发电机组(2),,8,24,3001,406008,MG3 冷却空气(热)温度,,1,2,2,6,
10,3#主发电机组(2),,8,25,3001,301005,3#发电机前轴承温度,,1,5,7,14,
10,3#主发电机组(2),,8,26,3001,301006,3#发电机后轴承温度,,1,5,7,15,
10,3#主发电机组(2),,8,27,3001,406009,3号电压调节器励磁电流,,1,1,5,5,
10,3#主发电机组(2),,8,28,3001,406010,3号电压调节器励磁电压,,1,1,5,6,
10,3#主发电机组(2),,8,29,3001,406011,3#发电机励磁开关脱扣故障,,1,2,6,18,
10,3#主发电机组（3）,,9,1,3001,1282,3#发电机燃油滤器压差高,,1,2,4,11,
10,3#主发电机组（3）,,9,2,3001,1325,3#发电机增压空气温度,,1,7,12,1,
10,3#主发电机组（3）,,9,3,3001,1326,3#发电机燃油进机温度,,1,7,12,2,
10,3#主发电机组（3）,,9,4,3001,1327,3#发电机低温水进空冷器温度,,1,7,12,3,
10,3#主发电机组（3）,,9,5,3001,1328,3#发电机高温水进机温度,,1,7,12,4,
10,3#主发电机组（3）,,9,6,3001,1330,3#发电机增压空气压力,,1,7,12,6,
10,3#主发电机组（3）,,9,7,3001,405033,3#发电机增压器超速,,1,7,10,10,
10,3#主发电机组（3）,,9,8,3001,1397,3#发电机油门刻度,,1,7,12,17,
10,停泊机组(1),,10,1,3001,501001,停泊机滑油进滤器温度,,1,7,13,1,
10,停泊机组(1),,10,2,3001,501002,停泊机滑油进机压力,,1,7,13,2,
10,停泊机组(1),,10,3,3001,501003,停泊机滑油压力过低停车,,1,7,13,3,
10,停泊机组(1),,10,4,3001,501004,停泊机滑油进增压器压力,,1,7,13,4,
10,停泊机组(1),,10,5,3001,501005,停泊机滑油进滤器前后压力,,1,7,13,5,
10,停泊机组(1),,10,6,3001,501006,停泊机预供滑油压力低,,1,7,13,6,
10,停泊机组(1),,10,7,3001,501007,停泊机油底壳滑油液位高,,1,7,13,7,
10,停泊机组(1),,10,8,3001,501008,停泊机油底壳滑油液位低,,1,7,13,8,
10,停泊机组(1),,10,9,3001,501009,停泊机燃油进机压力,,1,7,13,9,
10,停泊机组(1),,10,10,3001,501010,停泊机燃油滤器前后压差,,1,7,13,10,
10,停泊机组(1),,10,11,3001,501011,停泊机燃油泄漏液位高,,1,7,13,11,
10,停泊机组(1),,10,12,3001,501012,停泊机低温冷水进机压力,,1,7,13,12,
10,停泊机组(1),,10,13,3001,501013,停泊机高温冷水进机压力,,1,7,13,13,
10,停泊机组(1),,10,14,3001,501014,停泊机高温冷水出机温度,,1,7,13,14,
10,停泊机组(1),,10,15,3001,501015,停泊机高温冷水出机温度高停车,,1,7,13,15,
10,停泊机组(1),,10,16,3001,501016,停泊机1号缸排气温度 高,,1,7,13,16,
10,停泊机组(1),,10,17,3001,501017,停泊机2号缸排气温度 高,,1,7,13,17,
10,停泊机组(1),,10,18,3001,501018,停泊机3号缸排气温度 高,,1,7,13,18,
10,停泊机组(1),,10,19,3001,501019,停泊机4号缸排气温度 高,,1,7,13,19,
10,停泊机组(1),,10,20,3001,501020,停泊机5号缸排气温度 高,,1,7,13,20,
10,停泊机组(1),,10,21,3001,501021,停泊机6号缸排气温度 高,,1,7,13,21,
10,停泊机组(1),,10,22,3001,501022,停泊机7号缸排气温度 高,,1,7,13,22,
10,停泊机组(1),,10,23,3001,501025,停泊机各缸排温均值偏差高,,1,7,14,2,
10,停泊机组(1),,10,24,3001,501026,停泊机增压器前排气温度高,,1,7,14,3,
10,停泊机组(1),,10,25,3001,501027,停泊机增压器后排气温度高,,1,7,14,4,
10,停泊机组(1),,10,26,3001,501028,停泊机起动空气压力低,,1,7,14,5,
10,停泊机组(1),,10,27,3001,501029,停泊机盘车开关啮合/脱开,,1,7,14,6,
10,停泊机组(1),,10,28,3001,501030,停泊机应急停车,,1,7,14,7,
10,停泊机组(2),,11,1,3001,501031,停泊机超速,,1,7,14,8,
10,停泊机组(2),,11,2,3001,501032,停泊机超速停车,,1,7,14,9,
10,停泊机组(2),,11,3,3001,501033,停泊机增压器超速,,1,7,14,10,
10,停泊机组(2),,11,4,3001,501034,停泊机公共紧急停机,,1,7,14,11,
10,停泊机组(2),,11,5,3001,501035,停泊机遥控紧急停机,,1,7,14,12,
10,停泊机组(2),,11,6,3001,501037,停泊机起动失败报警,,1,7,14,14,
10,停泊机组(2),,11,7,3001,501038,停泊机停机失败报警,,1,7,14,15,
10,停泊机组(2),,11,8,3001,501039,停泊机1号缸排温温差大,,1,7,13,25,
10,停泊机组(2),,11,9,3001,501040,停泊机2号缸排温温差大,,1,7,13,26,
10,停泊机组(2),,11,10,3001,501041,停泊机3号缸排温温差大,,1,7,13,27,
10,停泊机组(2),,11,11,3001,501042,停泊机4号缸排温温差大,,1,7,13,28,
10,停泊机组(2),,11,12,3001,501043,停泊机5号缸排温温差大,,1,7,13,29,
10,停泊机组(2),,11,13,3001,501044,停泊机6号缸排温温差大,,1,7,13,30,
10,停泊机组(2),,11,14,3001,501045,停泊机7号缸排温温差大,,1,7,13,31,
10,停泊机组(2),,11,15,3001,501046,停泊机8号缸排温温差大,,1,7,13,32,
10,停泊机组(2),,11,16,3001,501047,停泊机9号缸排温温差大,,1,7,14,1,
10,停泊机组(2),,11,17,3001,502001,HG开关脱扣,,1,1,2,25,
10,停泊机组(2),,11,18,3001,502002,HG保护继电器故障,,1,1,2,27,
10,停泊机组(2),,11,19,3001,502003,HG U相绕组温度,,1,2,1,4,
10,停泊机组(2),,11,20,3001,502004,HG V相绕组温度,,1,2,1,5,
10,停泊机组(2),,11,21,3001,502005,HG W相绕组温度,,1,2,1,6,
10,停泊机组(2),,11,22,3001,502006,HG冷却水泄漏报警,,1,2,4,16,
10,停泊机组(2),,11,23,3001,502007,HG 冷却空气(冷)温度,,1,2,2,7,
10,停泊机组(2),,11,24,3001,502008,HG 冷却空气(热)温度,,1,2,2,8,
10,停泊机组(2),,11,25,3001,301007,停泊机前轴承温度,,1,5,7,16,
10,停泊机组(2),,11,26,3001,301008,停泊机后轴承温度,,1,5,7,17,
10,停泊机组(2),,11,27,3001,502009,4号电压调节器励磁电流,,1,1,5,7,
10,停泊机组(2),,11,28,3001,502010,4号电压调节器励磁电压,,1,1,5,8,
10,停泊机组(2),,11,29,3001,502011,4#发电机励磁开关脱扣故障,,1,2,6,20,
10,停泊机组（3）,,12,1,3001,1283,停泊机燃油滤器压差高,,1,2,4,12,
10,停泊机组（3）,,12,2,3001,1341,停泊机增压空气温度,,1,8,1,1,
10,停泊机组（3）,,12,3,3001,1342,停泊机燃油进机温度,,1,8,1,2,
10,停泊机组（3）,,12,4,3001,1343,停泊机低温水进空冷器温度,,1,8,1,3,
10,停泊机组（3）,,12,5,3001,1344,停泊机高温水进机温度,,1,8,1,4,
10,停泊机组（3）,,12,6,3001,1346,停泊机增压空气压力,,1,8,1,6,
10,停泊机组（3）,,12,7,3001,501033,停泊机增压器超速,,1,7,14,10,
10,停泊机组（3）,,12,8,3001,1398,停泊机油门刻度,,1,8,1,17,
10,应急发电机组,,13,1,3001,601001,应急发电机运行指示,,1,3,3,21,
10,应急发电机组,,13,2,3001,601002,应急发电机供电指示,,1,3,3,22,
10,应急发电机组,,13,3,3001,601003,应急配电板AC400V绝缘低,,1,3,3,23,
10,应急发电机组,,13,4,3001,601004,应急配电板AC230V绝缘低,,1,3,3,24,
10,应急发电机组,,13,5,3001,601005,应急配电板DC24V失电报警,,1,3,3,25,
10,应急发电机组,,13,6,3001,601006,应急配电板AC220V控制电源失电,,1,3,3,26,
10,应急发电机组,,13,7,3001,601007,应急配电板AC220V电源故障,,1,3,3,27,
10,应急发电机组,,13,8,3001,601008,应急配电板AC380V电源故障,,1,3,3,28,
10,应急发电机组,,13,9,3001,601009,应急配电板电板就绪,,1,3,3,29,
10,应急发电机组,,13,10,3001,601010,应急发电机综合故障,,1,1,3,9,
10,应急发电机组,,13,11,3001,601011,应急发电机蓄电池欠电压报警,,1,1,3,10,
10,应急发电机组,,13,12,3001,602001,应急发电机油柜低位报警,,1,3,3,6,
10,应急发电机组,,13,13,3001,602002,应急发电机油柜高位报警,,1,3,3,5,
10,电推吊舱单元,,14,1,3001,101001,AZ11润滑油泵1油柜液位低,,1,4,2,1,
10,电推吊舱单元,,14,2,3001,101002,AZ11润滑油泵2油柜液位低,,1,4,2,2,
10,电推吊舱单元,,14,3,3001,101003,AZ11 POD压力报警,,1,4,2,3,
10,电推吊舱单元,,14,4,3001,101004,AZ11轴制动功能接通,,1,4,2,4,
10,电推吊舱单元,,14,5,3001,101005,AZI1滑环单元温度,,1,4,1,1,
10,电推吊舱单元,,14,6,3001,101006,AZ11漏水报警,,1,4,2,5,
10,电推吊舱单元,,14,7,3001,102001,AZ12润滑油泵1油柜液位低,,1,4,3,1,
10,电推吊舱单元,,14,8,3001,102002,AZ12润滑油泵2油柜液位低,,1,4,3,2,
10,电推吊舱单元,,14,9,3001,102003,AZ12 POD压力报警,,1,4,3,3,
10,电推吊舱单元,,14,10,3001,102004,AZ12轴制动功能接通,,1,4,3,4,
10,电推吊舱单元,,14,11,3001,102005,AZI2滑环单元温度,,1,4,1,9,
10,电推吊舱单元,,14,12,3001,102006,AZ12漏水报警,,1,4,3,5,
10,推进变频器,,15,1,3001,103001,FC1推进单元变频器报警,,1,4,2,7,
10,推进变频器,,15,2,3001,103002,FC1推进单元变频器故障,,1,4,2,8,
10,推进变频器,,15,3,3001,103003,FC1推进单元变频器辅助设备电源故障,,1,4,2,9,
10,推进变频器,,15,5,3001,106001,FC2推进单元变频器报警,,1,4,3,7,
10,推进变频器,,15,6,3001,106002,FC2推进单元变频器故障,,1,4,3,8,
10,推进变频器,,15,7,3001,106003,FC2推进单元变频器辅助设备电源故障,,1,4,3,9,
10,推进变频器,,15,8,3001,1487,1#速度命令断线,,1,5,11,32,
10,推进变频器,,15,9,3001,1488,1#1号发电机功率信号断线,,1,5,12,1,
10,推进变频器,,15,10,3001,1489,1#2号发电机功率信号断线,,1,5,12,2,
10,推进变频器,,15,11,3001,1490,1#3号发电机功率信号断线,,1,5,12,3,
10,推进变频器,,15,12,3001,1491,1#停泊机功率信号断线,,1,5,12,4,
10,推进变频器,,15,13,3001,1492,1#电网频率信号断线,,1,5,12,5,
10,推进变频器,,15,14,3001,1493,1#水冷单元泄漏,,1,5,12,6,
10,推进变频器,,15,15,3001,1494,2#速度命令断线,,1,5,15,32,
10,推进变频器,,15,16,3001,1495,2#1号发电机功率信号断线,,1,6,1,1,
10,推进变频器,,15,17,3001,1496,2#2号发电机功率信号断线,,1,6,1,2,
10,推进变频器,,15,18,3001,1497,2#3号发电机功率信号断线,,1,6,1,3,
10,推进变频器,,15,19,3001,1498,2#停泊机功率信号断线,,1,6,1,4,
10,推进变频器,,15,20,3001,1499,2#电网频率信号断线,,1,6,1,5,
10,推进变频器,,15,21,3001,1500,2#水冷单元泄漏,,1,6,1,6,
10,左右舵机变频器,,16,1,3001,104001,FC11操舵单元变频器A电压故障,,1,4,2,11,
10,左右舵机变频器,,16,2,3001,104002,FC11操舵单元变频器A运行,,1,4,2,12,
10,左右舵机变频器,,16,3,3001,104004,FC11操舵单元变频器A报警,,1,4,2,14,
10,左右舵机变频器,,16,4,3001,104005,FC11操舵单元变频器A故障,,1,4,2,15,
10,左右舵机变频器,,16,5,3001,104006,FC11操舵单元变频器A主接触器闭合,,1,4,2,16,
10,左右舵机变频器,,16,6,3001,105001,FC12操舵单元变频器B电压故障,,1,4,2,17,
10,左右舵机变频器,,16,7,3001,105002,FC12操舵单元变频器B运行,,1,4,2,18,
10,左右舵机变频器,,16,8,3001,105004,FC12操舵单元变频器B报警,,1,4,2,20,
10,左右舵机变频器,,16,9,3001,105005,FC12操舵单元变频器B故障,,1,4,2,21,
10,左右舵机变频器,,16,10,3001,105006,FC12操舵单元变频器B主接触器闭合,,1,4,2,22,
10,左右舵机变频器,,16,12,3001,107001,FC21操舵单元变频器A电压故障,,1,4,3,11,
10,左右舵机变频器,,16,13,3001,107002,FC21操舵单元变频器A运行,,1,4,3,12,
10,左右舵机变频器,,16,14,3001,107004,FC21操舵单元变频器A报警,,1,4,3,14,
10,左右舵机变频器,,16,15,3001,107005,FC21操舵单元变频器A故障,,1,4,3,15,
10,左右舵机变频器,,16,16,3001,107006,FC21操舵单元变频器A主接触器闭合,,1,4,3,16,
10,左右舵机变频器,,16,17,3001,108001,FC22操舵单元变频器B电压故障,,1,4,3,17,
10,左右舵机变频器,,16,18,3001,108002,FC22操舵单元变频器B运行,,1,4,3,18,
10,左右舵机变频器,,16,19,3001,108004,FC22操舵单元变频器B报警,,1,4,3,20,
10,左右舵机变频器,,16,20,3001,108005,FC22操舵单元变频器B故障,,1,4,3,21,
10,左右舵机变频器,,16,21,3001,108006,FC22操舵单元变频器B主接触器闭合,,1,4,3,22,
10,1#/2#滤波器,,17,1,3001,109001,HF1辅电源接通S1,,1,2,4,1,
10,1#/2#滤波器,,17,2,3001,109002,HF1开关K1闭合,,1,2,4,2,
10,1#/2#滤波器,,17,3,3001,109003,HF1开关K2闭合,,1,2,4,3,
10,1#/2#滤波器,,17,4,3001,109004,HF1柜温度1,,1,2,3,9,
10,1#/2#滤波器,,17,5,3001,109005,HF1柜温度2,,1,2,3,10,
10,1#/2#滤波器,,17,6,3001,109006,HF1公共报警,,1,2,4,4,
10,1#/2#滤波器,,17,8,3001,110001,HF2辅电源接通S1,,1,2,4,5,
10,1#/2#滤波器,,17,9,3001,110002,HF2开关K1闭合,,1,2,4,6,
10,1#/2#滤波器,,17,10,3001,110003,HF2开关K2闭合,,1,2,4,7,
10,1#/2#滤波器,,17,11,3001,110004,HF2柜温度1,,1,2,3,11,
10,1#/2#滤波器,,17,12,3001,110005,HF2柜温度2,,1,2,3,12,
10,1#/2#滤波器,,17,13,3001,110006,HF2公共报警,,1,2,4,16,
10,690V配电板,,18,1,3001,111001,左段DC24V失电,,1,1,2,10,
10,690V配电板,,18,2,3001,111002,左段690V汇流排电压高,,1,1,2,5,
10,690V配电板,,18,3,3001,111003,左段690V汇流排绝缘低,,1,1,2,6,
10,690V配电板,,18,4,3001,111004,左段690V汇流排频率低,,1,1,2,7,
10,690V配电板,,18,5,3001,111005,左段690V汇流排电压低,,1,1,2,9,
10,690V配电板,,18,6,3001,111006,左段690V汇流排频率高,,1,1,2,8,
10,690V配电板,,18,8,3001,112001,右段DC24V失电,,1,1,2,16,
10,690V配电板,,18,9,3001,112002,右段690V汇流排电压高,,1,1,2,11,
10,690V配电板,,18,10,3001,112003,右段690V汇流排绝缘低,,1,1,2,12,
10,690V配电板,,18,11,3001,112004,右段690V汇流排频率低,,1,1,2,13,
10,690V配电板,,18,12,3001,112005,右段690V汇流排电压低,,1,1,2,15,
10,690V配电板,,18,13,3001,112006,右段690V汇流排频率高,,1,1,2,14,
10,1#/2#推进电机,,19,1,3001,113001,AZI1螺旋桨端轴承温度,,1,4,1,2,
10,1#/2#推进电机,,19,2,3001,113002,AZI1推力轴承温度,,1,4,1,3,
10,1#/2#推进电机,,19,3,3001,113003,PM1 U相绕组温度,,1,4,1,4,
10,1#/2#推进电机,,19,4,3001,113004,PM1 V相绕组温度,,1,4,1,5,
10,1#/2#推进电机,,19,5,3001,113005,PM1 W相绕组温度,,1,4,1,6,
10,1#/2#推进电机,,19,7,3001,114001,AZI2螺旋桨端轴承温度,,1,4,1,10,
10,1#/2#推进电机,,19,8,3001,114002,AZI2推力轴承温度,,1,4,1,11,
10,1#/2#推进电机,,19,9,3001,114003,PM2 U相绕组温度,,1,4,1,12,
10,1#/2#推进电机,,19,10,3001,114004,PM2 V相绕组温度,,1,4,1,13,
10,1#/2#推进电机,,19,11,3001,114005,PM2 W相绕组温度,,1,4,1,14,
10,变压器及功率管理,,20,1,3001,115001,PMS报警,,1,1,3,13,
10,变压器及功率管理,,20,2,3001,115002,PMS新报警,,1,1,3,14,
10,变压器及功率管理,,20,4,3001,116001,TR预充磁开关脱扣,,1,1,2,29,
10,变压器及功率管理,,20,6,3001,117001,1号主变压器TR1电流,,1,1,4,3,
10,变压器及功率管理,,20,7,3001,117002,TR1 U相绕组温度,,1,2,3,1,
10,变压器及功率管理,,20,8,3001,117003,TR1 V相绕组温度,,1,2,3,2,
10,变压器及功率管理,,20,9,3001,117004,TR1 W相绕组温度,,1,2,3,3,
10,变压器及功率管理,,20,10,3001,117005,TR1预充磁线路熔断器故障,,1,1,2,30,
10,变压器及功率管理,,20,12,3001,118001,2号主变压器TR2电流,,1,1,4,4,
10,变压器及功率管理,,20,13,3001,118002,TR2 U相绕组温度,,1,2,3,4,
